,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T'c
621,Chicken rice with steamed chicken,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Packet (330g),557.7,80.19,28.05,13.86,4.95,3.3,36.63,697.95,27.885,26.73,37.4,21.65625,24.75,13.2,12.21,29.08125,1.029407277,0.919710346
2953,Yong tau foo mixed items noodles not included,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Bowl-soup (16 and 1/2 cm) (324g),306.65,21.71,19.76,15.55,6.8,9.07,90.72,1733.4,15.3325,7.236666667,26.34666667,24.296875,34,36.28,30.24,72.225,0.994744414,2.084152021
1719,Nasi Lemak with chicken wing,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (306g),656.58,81.21,26.08,24.94,10.65,6.52,117.44,877.09,32.829,27.07,34.77333333,38.96875,53.25,26.08,39.14666667,36.54541667,0.80099229,1.0215512
1696,Mutton briyani,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (505g),751.95,96.46,35.86,24.75,12.12,8.08,95.95,1858.4,37.5975,32.15333333,47.81333333,38.671875,60.6,32.32,31.98333333,77.43333333,0.832113724,1.288886501
2046,Popiah,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Whole (139.89g),187.57,14.27,7.55,11.19,3.64,4.06,44.76,675.67,9.3785,4.756666667,10.06666667,17.484375,18.2,16.24,14.92,28.15291667,0.872651943,1.617125755
1738,Nonya rice dumpling,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Whole (164.7g),314.91,52.21,8.4,7.91,2.96,1.81,18.12,494.1,15.7455,17.40333333,11.2,12.359375,14.8,7.24,6.04,20.5875,0.602612231,1.040561101
515,Chapati,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (46g),143.38,21.48,3.08,5.01,2.35,3.17,0,119.14,7.169,7.16,4.106666667,7.828125,11.75,12.68,0,4.964166667,1.330528613,0.834474782
713,Chinese rojak,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Plate-23cm (323g),517.58,63.85,16.29,21.48,6.06,6.84,12.36,914.32,25.879,21.28333333,21.72,33.5625,30.3,27.36,4.12,38.09666667,1.021422605,1.158154145
1289,Hokkien mee,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (442g),521.56,69.39,18.12,19.01,7.34,4.42,132.6,1423.24,26.078,23.13,24.16,29.703125,36.7,17.68,44.2,59.30166667,0.547916155,1.398801564
104,Bak kut teh soup only,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (417g),50.04,9.59,2.09,0.42,0.08,0,33.36,3807.21,2.502,3.196666667,2.786666667,0.65625,0.4,0,11.12,158.63375,0.03932792,15.58892754
1369,Jemput pisang,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (76g),219.64,33.36,4.03,7.83,3.5,1.6,0,72.96,10.982,11.12,5.373333333,12.234375,17.5,6.4,0,3.04,0.66786033,0.774035106
1394,Kaya cake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (89g),220.72,23.14,3.83,12.55,9.34,1.51,83.66,111.25,11.036,7.713333333,5.106666667,19.609375,46.7,6.04,27.88666667,4.635416667,0.281130671,0.916978127
1399,Kesari,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (60g),187.8,31.2,1.8,6.24,2.42,0.66,4.8,6.6,9.39,10.4,2.4,9.75,12.1,2.64,1.6,0.275,0.355225219,0.709992125
878,Curry puff chicken,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (115g),339.25,26.8,8.4,22.08,9.46,3.34,24.15,388.7,16.9625,8.933333333,11.2,34.5,47.3,13.36,8.05,16.19583333,0.626279829,1.117638458
1886,Pandan chiffon cake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Slice (41g),135.26,14.72,3.32,7.01,3.16,0.9,43.05,74.21,6.763,4.906666667,4.426666667,10.953125,15.8,3.6,14.35,3.092083333,0.435942476,0.861808703
1717,Nasi goreng sayur,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (430.1g),919.6,154.1,14.54,27.23,24.3,1.38,10.54,976.76,45.98,51.36666667,19.38666667,42.546875,121.5,5.52,3.513333333,40.69833333,0.232142363,0.9917678
1589,Mee siam,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (577g),521.15,64.1,20.89,19.27,6.35,3.58,99.24,2346.66,26.0575,21.36666667,27.85333333,30.109375,31.75,14.32,33.08,97.7775,0.498097044,1.858931876
1442,Laksa,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (650g),695.5,57.85,27.3,39.65,14.24,3.9,104,7904,34.775,19.28333333,36.4,61.953125,71.2,15.6,34.66666667,329.3333333,0.264985338,3.837918846
1517,Lor mee,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (540g),383.4,55.08,14.58,11.34,4.86,6.48,140.4,2538,19.17,18.36,19.44,17.71875,24.3,25.92,46.8,105.75,0.528196746,2.349057631
1511,Lontong goreng,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-16cm (146.9g),219.19,17.41,10.65,11.88,5.01,2.23,30.36,516.65,10.9595,5.803333333,14.2,18.5625,25.05,8.92,10.12,21.52708333,0.779221655,1.299095094
701,Chilli crab,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Plate-23cm (300g),424.47,14.7,33.9,25.5,11.7,0.03,441,1608,21.2235,4.9,45.2,39.84375,58.5,0.12,147,67,0.377593608,1.697576821
2385,Seafood porridge,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (607g),366.02,51.11,21.61,8.32,3.4,0.85,115.33,1082.28,18.301,17.03666667,28.81333333,13,17,3.4,38.44333333,45.095,0.583086029,1.336223747
114,Ban mian soup,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (528g),475.2,48.05,21.65,21.65,8.45,3.17,232.32,2196.48,23.76,16.01666667,28.86666667,33.828125,42.25,12.68,77.44,91.52,0.411695536,1.920680197
1438,Kway teow goreng,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (380g),654.83,80.18,18.62,28.88,11.78,5.7,209,1968.4,32.7415,26.72666667,24.82666667,45.125,58.9,22.8,69.66666667,82.01666667,0.438699156,1.533475621
758,Claypot rice with mixed vegetable,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (407g),419.21,63.49,11.4,13.43,4.84,6.51,8.14,1416.36,20.9605,21.16333333,15.2,20.984375,24.2,26.04,2.713333333,59.015,0.801655666,1.543974788
